accession	record_id	tier
CRA028528	MMC2-00067	1
DRA005698	MMC2-02240	1
DRA006313	MMC2-02227	1
DRA006684	MMC2-00038	1
DRA006684	MMC2-00067	1
DRA006684	MMC2-01411	1
DRA007281	MMC2-00038	1
DRA008156	MMC2-00038	1
DRA008156	MMC2-00067	1
DRA008156	MMC2-01411	1
DRA008243	MMC2-00038	1
DRA011218	MMC2-06291	1
DRA012575	MMC2-02018	1
ERS3379832	MMC2-09276	1
ERS3380418	MMC2-09276	1
ERS725509	MMC2-02284	1
ERS725741	MMC2-02284	1
PRJDB10871	MMC2-06291	1
PRJEB1046	MMC2-02784	1
PRJEB10878	MMC2-00037	1
PRJEB11419	MMC2-ADD-001	1
PRJEB11512	MMC2-02670	1
PRJEB12947	MMC2-02805	1
PRJEB14082	MMC2-02805	1
PRJEB14674	MMC2-02675	1
PRJEB14941	MMC2-12782	1
PRJEB16013	MMC2-12782	1
PRJEB21946	MMC2-02877	1
PRJEB23239	MMC2-02221	1
PRJEB24147	MMC2-12782	1
PRJEB27216	MMC2-10490	1
PRJEB28543	MMC2-02945	1
PRJEB31817	MMC2-02971	1
PRJEB31817	MMC2-09276	1
PRJEB33360	MMC2-02988	1
PRJEB35526	MMC2-00197	1
PRJEB36585	MMC2-02720	1
PRJEB36789	MMC2-00200	1
PRJEB37635	MMC2-00203	1
PRJEB39610	MMC2-03067	1
PRJEB41059	MMC2-03081	1
PRJEB42151	MMC2-03092	1
PRJEB42155	MMC2-03092	1
PRJEB42155	MMC2-03093	1
PRJEB42371	MMC2-00150	1
PRJEB4336	MMC2-00139	1
PRJEB44440	MMC2-03114	1
PRJEB44440	MMC2-03115	1
PRJEB47047	MMC2-03137	1
PRJEB47047	MMC2-11206	1
PRJEB47161	MMC2-03114	1
PRJEB47162	MMC2-03114	1
PRJEB47162	MMC2-03115	1
PRJEB47197	MMC2-00214	1
PRJEB4953	MMC2-00215	1
PRJEB5069	MMC2-00216	1
PRJEB53401	MMC2-10561	1
PRJEB53403	MMC2-10561	1
PRJEB53463	MMC2-09575	1
PRJEB55787	MMC2-03222	1
PRJEB57580	MMC2-00214	1
PRJEB58436	MMC2-03242	1
PRJEB59350	MMC2-03248	1
PRJEB59450	MMC2-09747	1
PRJEB6070	MMC2-00037	1
PRJEB6070	MMC2-00139	1
PRJEB6070	MMC2-00225	1
PRJEB61516	MMC2-03137	1
PRJEB62577	MMC2-03262	1
PRJEB62655	MMC2-03262	1
PRJEB6456	MMC2-03277	1
PRJEB674	MMC2-02784	1
PRJEB75958	MMC2-03322	1
PRJEB77933	MMC2-03114	1
PRJEB82425	MMC2-02743	1
PRJEB99111	MMC2-02691	1
PRJNA1011244	MMC2-03403	1
PRJNA1014361	MMC2-03412	1
PRJNA1053656	MMC2-03495	1
PRJNA1061213	MMC2-00274	1
PRJNA1062161	MMC2-03512	1
PRJNA1062375	MMC2-03513	1
PRJNA1080555	MMC2-03555	1
PRJNA1091054	MMC2-03588	1
PRJNA1091815	MMC2-09324	1
PRJNA1104398	MMC2-00299	1
PRJNA1121599	MMC2-00307	1
PRJNA1125836	MMC2-03645	1
PRJNA1127013	MMC2-00311	1
PRJNA1133091	MMC2-03661	1
PRJNA1134913	MMC2-03666	1
PRJNA1148144	MMC2-03686	1
PRJNA1148754	MMC2-09639	1
PRJNA1158838	MMC2-00332	1
PRJNA1161359	MMC2-03704	1
PRJNA1161376	MMC2-03704	1
PRJNA1162741	MMC2-03706	1
PRJNA1164710	MMC2-03712	1
PRJNA1164942	MMC2-03713	1
PRJNA1169537	MMC2-03718	1
PRJNA1174175	MMC2-03725	1
PRJNA1174683	MMC2-03725	1
PRJNA1174709	MMC2-03725	1
PRJNA1174709	MMC2-03726	1
PRJNA1176379	MMC2-08483	1
PRJNA1216747	MMC2-03808	1
PRJNA1216770	MMC2-03808	1
PRJNA1226574	MMC2-00197	1
PRJNA1241201	MMC2-03834	1
PRJNA1249468	MMC2-03848	1
PRJNA1250964	MMC2-03834	1
PRJNA1262707	MMC2-03859	1
PRJNA1265957	MMC2-03865	1
PRJNA1295194	MMC2-03891	1
PRJNA1337180	MMC2-03903	1
PRJNA233597	MMC2-02309	1
PRJNA240658	MMC2-03921	1
PRJNA246121	MMC2-05398	1
PRJNA247489	MMC2-04022	1
PRJNA278076	MMC2-00642	1
PRJNA278873	MMC2-05419	1
PRJNA280490	MMC2-03944	1
PRJNA290926	MMC2-05430	1
PRJNA295859	MMC2-12782	1
PRJNA297252	MMC2-05435	1
PRJNA301903	MMC2-03978	1
PRJNA307231	MMC2-10669	1
PRJNA307992	MMC2-03985	1
PRJNA310127	MMC2-00387	1
PRJNA316126	MMC2-11252	1
PRJNA328258	MMC2-04014	1
PRJNA330897	MMC2-05466	1
PRJNA340060	MMC2-04022	1
PRJNA342486	MMC2-05471	1
PRJNA374847	MMC2-00398	1
PRJNA379123	MMC2-03944	1
PRJNA384621	MMC2-04064	1
PRJNA391149	MMC2-04078	1
PRJNA395660	MMC2-02805	1
PRJNA397867	MMC2-00047	1
PRJNA407499	MMC2-04098	1
PRJNA408073	MMC2-09254	1
PRJNA411831	MMC2-00404	1
PRJNA412738	MMC2-04102	1
PRJNA412846	MMC2-00047	1
PRJNA415692	MMC2-04109	1
PRJNA417579	MMC2-03242	1
PRJNA421352	MMC2-00197	1
PRJNA421952	MMC2-05506	1
PRJNA428477	MMC2-02206	1
PRJNA429097	MMC2-00037	1
PRJNA432821	MMC2-03588	1
PRJNA438847	MMC2-08593	1
PRJNA450340	MMC2-04149	1
PRJNA450843	MMC2-05520	1
PRJNA473126	MMC2-03978	1
PRJNA475246	MMC2-03277	1
PRJNA481576	MMC2-12782	1
PRJNA482656	MMC2-04178	1
PRJNA485316	MMC2-02206	1
PRJNA486009	MMC2-02184	1
PRJNA486782	MMC2-03277	1
PRJNA487636	MMC2-02209	1
PRJNA489090	MMC2-03978	1
PRJNA492751	MMC2-04200	1
PRJNA510445	MMC2-03277	1
PRJNA517994	MMC2-04241	1
PRJNA521455	MMC2-02784	1
PRJNA521878	MMC2-03277	1
PRJNA525566	MMC2-04253	1
PRJNA525701	MMC2-04241	1
PRJNA533024	MMC2-00197	1
PRJNA533610	MMC2-04277	1
PRJNA539959	MMC2-11252	1
PRJNA541981	MMC2-00427	1
PRJNA547595	MMC2-12782	1
PRJNA548310	MMC2-11252	1
PRJNA550537	MMC2-04311	1
PRJNA552657	MMC2-04311	1
PRJNA554461	MMC2-04314	1
PRJNA554461	MMC2-04315	1
PRJNA556249	MMC2-04322	1
PRJNA575620	MMC2-00438	1
PRJNA579996	MMC2-09735	1
PRJNA595346	MMC2-04315	1
PRJNA598446	MMC2-04386	1
PRJNA599016	MMC2-04387	1
PRJNA606577	MMC2-04014	1
PRJNA610934	MMC2-04414	1
PRJNA612042	MMC2-02805	1
PRJNA615162	MMC2-04429	1
PRJNA622267	MMC2-04438	1
PRJNA630999	MMC2-03277	1
PRJNA631262	MMC2-04322	1
PRJNA632856	MMC2-00458	1
PRJNA637785	MMC2-04481	1
PRJNA668357	MMC2-02805	1
PRJNA668472	MMC2-02805	1
PRJNA678287	MMC2-00477	1
PRJNA678776	MMC2-00478	1
PRJNA687957	MMC2-04386	1
PRJNA698986	MMC2-03277	1
PRJNA701982	MMC2-03978	1
PRJNA719138	MMC2-04693	1
PRJNA720045	MMC2-04695	1
PRJNA721617	MMC2-04701	1
PRJNA724686	MMC2-04022	1
PRJNA726955	MMC2-04315	1
PRJNA727842	MMC2-04715	1
PRJNA731589	MMC2-00496	1
PRJNA734860	MMC2-02791	1
PRJNA737052	MMC2-12782	1
PRJNA743650	MMC2-04756	1
PRJNA746094	MMC2-04761	1
PRJNA755856	MMC2-04793	1
PRJNA757573	MMC2-04799	1
PRJNA759070	MMC2-04756	1
