record_id	tier	accession_codes	disease_field	disease_field_source	disease_field_is_free_text	disease_group	healthy_cohort
MMC2-00037	1	PRJEB10878; PRJEB6070; PRJNA429097	Diagnosis	disease_key		Cancer	
MMC2-00038	1	DRA006684; DRA007281; DRA008156; DRA008243	host_disease_stat	disease_key		Cancer	
MMC2-00047	1	PRJNA397867; PRJNA412846	sample_title; under	reviewer_note	yes	Cancer	
MMC2-00067	1	CRA028528; DRA006684; DRA008156	host_disease_stat	disease_key		Cancer	
MMC2-00139	1	PRJEB4336; PRJEB6070	Diagnosis	disease_key		Cancer	
MMC2-00150	1	PRJEB42371	perio_3_categories; perio_4_categories	reviewer_note		Cancer	
MMC2-00197	1	PRJEB35526; PRJNA1226574; PRJNA421352; PRJNA533024	Condition; host_phenotype	disease_key		Cancer	
MMC2-00200	1	PRJEB36789	sample_type	reviewer_note		Cancer	
MMC2-00203	1	PRJEB37635	Colonoscopy_status	disease_key		Cancer	
MMC2-00214	1	PRJEB47197; PRJEB57580	tissue_type	reviewer_note		Cancer	
MMC2-00215	1	PRJEB4953	sample_title; tissue	reviewer_note	yes	Cancer	
MMC2-00216	1	PRJEB5069	sample_title	reviewer_note	yes	Cancer	
MMC2-00225	1	PRJEB6070	Diagnosis	disease_key		Cancer	
MMC2-00274	1	PRJNA1061213	sample_description; tissue	reviewer_note	yes	Cancer	
MMC2-00299	1	PRJNA1104398	Experiment Title; experiment_title; Sample Alias; sample_alias; Experiment	reviewer_note	yes	Cancer	yes
MMC2-00307	1	PRJNA1121599	disease	disease_key		Cancer	
MMC2-00311	1	PRJNA1127013	isolate	reviewer_note		Cancer	
MMC2-00332	1	PRJNA1158838	host_disease; host_tissue_sampled	reviewer_note		Cancer	
MMC2-00387	1	PRJNA310127	isolation_source	reviewer_note	yes	Cancer	
MMC2-00398	1	PRJNA374847	env_feature	reviewer_note		Respiratory	
MMC2-00404	1	PRJNA411831	CANCER_TYPE	disease_key		Cancer	
MMC2-00427	1	PRJNA541981	stage; immunotherapy	reviewer_note		Cancer	
MMC2-00438	1	PRJNA575620	sample_description	reviewer_note	yes	Cancer	
MMC2-00458	1	PRJNA632856	tissue; sample_type	reviewer_note		Cancer	yes
MMC2-00477	1	PRJNA678287	Disease_status; isolate	reviewer_note		Cancer	
MMC2-00496	1	PRJNA731589; PRJNA763023	experiment_title	reviewer_note	yes	Cancer	yes
MMC2-00549	1	PRJNA810087	crc_subtype; recur_aden_t1; recur_aden_type	reviewer_note		Cancer	
MMC2-00557	1	PRJNA843054	sample_alias; isolate	reviewer_note	yes	Healthy	yes
MMC2-00559	1	PRJNA846182	Head and neck cancer	disease_key		Cancer	
MMC2-00579	1	PRJNA880301	host disease group	disease_key		Cancer	
MMC2-00642	1	PRJNA278076	host_disease	disease_key		Cancer	
MMC2-00940	1		host_disease	disease_key		Cancer	
MMC2-01397	1		host_disease; alcohol_drinking_status; smoking_status	disease_key		Cancer	
MMC2-01411	1	DRA006684; DRA008156	host_disease_stat	disease_key		Cancer	
MMC2-01414	1	PRJNA870048	host_disease	disease_key		Cancer	
MMC2-01621	1		gastrointestinal tract disorder; host disease status; liver disorder	disease_key		Cancer	
MMC2-01634	1	PRJNA832909	host_disease	disease_key		Cancer	
MMC2-02018	1	DRA012575	host_disease_stat	disease_key		Oral	
MMC2-02184	1	PRJNA486009	gastrointest_disord	reviewer_note		Gastrointestinal	
MMC2-02206	1	PRJNA428477; PRJNA485316	cre_status; screenPCRresult; KPCKp_bacteremia	reviewer_note		Respiratory	
MMC2-02209	1	PRJNA487636	Diagnosis	disease_key		Gastrointestinal	
MMC2-02221	1	PRJEB23239	Anemia	reviewer_note		Infectious	
MMC2-02227	1	DRA006313	host_disease_stat	disease_key		Infectious	
MMC2-02240	1	DRA005698	host_disease_stat	disease_key		Gastrointestinal	
MMC2-02284	1	ERS725509; ERS725741	Group	disease_key		Cardiovascular	
MMC2-02309	1	PRJNA233597	disease	disease_key		Infectious	
MMC2-02579	1		disease	disease_key		Infectious	
MMC2-02603	1	PRJNA866487	env_local_scale	reviewer_note		Oral	
MMC2-02670	1	PRJEB11512	sample_description; population	reviewer_note	yes	Healthy	yes
MMC2-02675	1	PRJEB14674	parkinson_disease	disease_key		Neurodegenerative	
MMC2-02691	1	PRJEB99111	disease_course	disease_key		Neurodegenerative	
MMC2-02720	1	GSE144792; PRJEB36585	comparison_group	disease_key		Infectious	
MMC2-02743	1	PRJEB82425	sample_description	reviewer_note	yes	Respiratory	
MMC2-02784	1	PRJEB1046; PRJEB674; PRJNA521455	Schisto status	disease_key		Infectious	
MMC2-02791	1	PRJNA734860	Diabetes_status	disease_key		Metabolic	
MMC2-02945	1	PRJEB28543	host disease status	disease_key		Infectious	
MMC2-02971	1	PRJEB31817	gastrointestinal tract disorder	disease_key		Gastrointestinal	
MMC2-02988	1	PRJEB33360	sample_description	reviewer_note	yes	Infectious	
MMC2-03067	1	PRJEB39610	Nec:	disease_key		Gastrointestinal	
MMC2-03081	1	PRJEB41059	Lung/pulmonary Disorder:	disease_key		Respiratory	
MMC2-03092	1	PRJEB42151; PRJEB42155	diagnosis; disease_duration	disease_key		Gastrointestinal	
MMC2-03093	1	PRJEB42155	diagnosis	disease_key		Gastrointestinal	
MMC2-03114	1	PRJEB44440; PRJEB47161; PRJEB47162; PRJEB77933	gastrointestinal tract disorder	disease_key		Gastrointestinal	
MMC2-03115	1	PRJEB44440; PRJEB47162	gastrointestinal tract disorder	disease_key		Gastrointestinal	
MMC2-03137	1	PRJEB47047; PRJEB61516	Skin:	disease_key		Immune Complications	
MMC2-03222	1	PRJEB55787	active uveitis	disease_key		Gastrointestinal	
MMC2-03242	1	PRJEB58436; PRJNA417579	Cardiometabolic_status	disease_key		Metabolic	
MMC2-03248	1	PRJEB59350; PRJNA834801	Case_status	disease_key		Neurodegenerative	
MMC2-03262	1	PRJEB62577; PRJEB62655	emp_status	disease_key		Healthy	yes
MMC2-03277	1	PRJEB6456; PRJNA475246; PRJNA486782; PRJNA510445; PRJNA521878; PRJNA630999; PRJNA698986	health_state	disease_key		Healthy	yes
MMC2-03322	1	PRJEB75958	host disease status	disease_key		Infectious	
MMC2-03403	1	PRJNA1011244	disease	disease_key		Autoimmune	
MMC2-03412	1	PRJNA1014361	sample_description	reviewer_note	yes	Respiratory	
MMC2-03495	1	PRJNA1053656	Disease_Group	disease_key		Gastrointestinal	
MMC2-03512	1	PRJNA1062161	group	disease_key		Oral	
MMC2-03513	1	PRJNA1062375	disease	disease_key		Gastrointestinal	
MMC2-03555	1	PRJNA1080555	disease	disease_key		Respiratory	
MMC2-03588	1	PRJNA1091054; PRJNA432821	sample_alias	reviewer_note	yes	Anatomical	
MMC2-03645	1	PRJNA1125836; PRJNA885289	host_disease	disease_key		Metabolic	
MMC2-03661	1	PRJNA1133091	disease	disease_key		Neurological	
MMC2-03666	1	PRJNA1134913	disease	disease_key		Infectious	
MMC2-03686	1	PRJNA1148144	host_group	disease_key		Infectious	
MMC2-03704	1	PRJNA1161359; PRJNA1161376	host_disease; host_phenotype	disease_key		Genetic	
MMC2-03712	1	PRJNA1164710	sample_alias	reviewer_note	yes	Healthy	yes
MMC2-03713	1	PRJNA1164942	health_state	disease_key		Healthy	yes
MMC2-03718	1	PRJNA1169537; PRJNA832909	host_disease	disease_key		Gastrointestinal	
MMC2-03725	1	PRJNA1174175; PRJNA1174683; PRJNA1174709	disease	disease_key		Cardiovascular	
MMC2-03726	1	PRJNA1174709	disease	disease_key		Cardiovascular	
MMC2-03808	1	PRJNA1216747; PRJNA1216770	Diagnosis	disease_key		Cancer	
MMC2-03834	1	PRJNA1241201; PRJNA1250964	CD_disease_presentation	disease_key		Gastrointestinal	
MMC2-03848	1	PRJNA1249468	sample_alias	reviewer_note	yes	Renal	
MMC2-03859	1	PRJNA1262707	disease	disease_key		Gastrointestinal	
MMC2-03865	1	PRJNA1265957	Baseline_VAD_status	disease_key		Healthy	yes
MMC2-03891	1	PRJNA1295194	Group	disease_key		Metabolic	
MMC2-03903	1	PRJNA1337180	sample_title	reviewer_note	yes	Cancer	
MMC2-03921	1	PRJNA240658	sample_description	reviewer_note	yes	Cancer	
MMC2-03944	1	PRJNA280490; PRJNA379123	host_disease	reviewer_note		Healthy	yes
MMC2-03985	1	PRJNA307992	host_disease	disease_key		Infectious	
MMC2-04014	1	PRJNA328258; PRJNA606577	NAFLD	reviewer_note		Metabolic	
MMC2-04022	1	PRJNA247489; PRJNA340060; PRJNA724686	score	reviewer_note		Neurological	
MMC2-04064	1	PRJNA384621	host_disease	disease_key		Infectious	
MMC2-04078	1	PRJNA391149	host_disease	disease_key		Gastrointestinal	
MMC2-04102	1	PRJNA412738	phenotype	disease_key		Respiratory	
MMC2-04109	1	PRJNA415692	sample_description	reviewer_note	yes	Infectious	
MMC2-04149	1	PRJNA450340	host_disease	disease_key		Gastrointestinal	
MMC2-04178	1	PRJNA482656	cancer; cancer_treatment; cardiovascular_disease; clinical_condition; covid_chronic_conditions_heart_disease__myocardial_infarction; covid_chronic_conditions_heart_problems; covid_chronic_conditions_immune_disorder; covid_chronic_conditions_seasonal_allergies; covid_likely_exposure_yes_someone_with_medical_diagnosis_but_no_test; epilepsy_or_seizure_disorder; ibd_diagnosis_refined; kidney_disease; liver_disease; lung_disease; mental_illness; mental_illness_type_bipolar_disorder; mental_illness_type_depression; mental_illness_type_ptsd_post_traumatic_stress_disorder; mental_illness_type_ptsd_posttraumatic_stress_disorder; mental_illness_type_substance_abuse; mental_illness_type_unspecified; skin_condition; subset_healthy	disease_key		Healthy	yes
MMC2-04241	1	PRJNA517994; PRJNA525701	host_disease	disease_key		Liver	
MMC2-04253	1	PRJNA525566	group	disease_key		Infectious	
MMC2-04311	1	PRJNA550537; PRJNA552657	disease	disease_key		Gastrointestinal	
MMC2-04314	1	PRJNA554461	clinical_classification	disease_key		Respiratory	
MMC2-04315	1	PRJNA554461; PRJNA595346; PRJNA726955; PRJNA940725; PRJNA976404	clinical_classification	disease_key		Respiratory	
MMC2-04322	1	PRJNA556249; PRJNA631262	swab_status	disease_key		Respiratory	
MMC2-04386	1	PRJNA598446; PRJNA687957	disease	disease_key		Autoimmune	
MMC2-04387	1	PRJNA599016	host_disease	disease_key		Respiratory	
MMC2-04414	1	PRJNA610934	host_disease	disease_key		Gastrointestinal	
MMC2-04429	1	PRJNA615162	disease_sub	disease_key		Gastrointestinal	
MMC2-04438	1	GSE147964; PRJNA622267	host_disease	disease_key		Respiratory	
MMC2-04481	1	PRJNA637785	treatment_group	disease_key		Metabolic	
MMC2-04693	1	PRJNA719138	diabetes_status	disease_key		Metabolic	
MMC2-04695	1	PRJNA720045	Condition	disease_key		Respiratory	
MMC2-04701	1	PRJNA721617	host_disease; sample_alias	reviewer_note	yes	Immune Complications	yes
MMC2-04715	1	PRJNA727842	Nutritional_Status	disease_key		Metabolic	
MMC2-04756	1	PRJNA743650; PRJNA759070	sample_alias	reviewer_note	yes	Cancer	
MMC2-04761	1	PRJNA746094	host_disease	disease_key		Mental Health	
MMC2-04793	1	PRJNA755856	host_phenotype	disease_key		Neurological	
MMC2-04799	1	PRJNA757573	Crohn's disease behaviour	disease_key		Gastrointestinal	
MMC2-04829	1	PRJNA766410	disease	disease_key		Metabolic	
MMC2-04850	1	PRJNA775883	disease_stage	disease_key		Metabolic	
MMC2-04907	1	PRJNA797231	sample_alias	reviewer_note	yes	Infectious	
MMC2-04912	1	PRJNA798786	INFECTIOUS _DISEASES	disease_key		Healthy	yes
MMC2-04932	1	PRJNA803810	sample_alias	reviewer_note	yes	Cancer	
MMC2-04982	1	PRJNA820972	host_disease	disease_key		Respiratory	
MMC2-04986	1	PRJNA823864	health_state	disease_key		Metabolic	
MMC2-05015	1	PRJNA836180	Group	disease_key		Healthy	yes
MMC2-05116	1	PRJNA881922	host_disease	disease_key		Metabolic	
MMC2-05198	1	PRJNA913857	state	reviewer_note		Respiratory	
MMC2-05220	1	PRJNA928241	host_disease	disease_key		Mental Health	
MMC2-05271	1	PRJNA945212	health_state	disease_key		Metabolic	
