record_id	tier	year	journal	title	doi	accession_codes	n_accessions_resolved	n_samples_in_repository	disease_field	disease_field_source	disease_field_is_free_text	disease_group	healthy_cohort	body_site	sequencing_type	country	tier_source	needs_curator_check
MMC2-00037	1	2020	Gut microbes	Establishing high-accuracy biomarkers for colorectal cancer by comparing fecal microbiomes in patients with healthy families.	10.1080/19490976.2020.1712986	PRJEB10878; PRJEB6070; PRJNA429097	3	746	Diagnosis	disease_key		Cancer		Gut	Both	China	reviewer_agrees	
MMC2-00038	1	2020	Gut	Influence of gastrectomy for gastric cancer treatment on faecal microbiome and metabolome profiles.	10.1136/gutjnl-2019-319188	DRA006684; DRA007281; DRA008156; DRA008243	4	695	host_disease_stat	disease_key		Cancer		Gut	Shotgun	Japan	reviewer_agrees	
MMC2-00047	1	2018	American journal of respiratory and critical care medicine	Airway Microbiota Is Associated with Upregulation of the PI3K Pathway in Lung Cancer.	10.1164/rccm.201710-2118OC	PRJNA397867; PRJNA412846	2	254	sample_title; under	reviewer_note	yes	Cancer		Pulmonary	Amplicon	United States	no_identifies_disease_field	
MMC2-00067	1	2025	mSystems	Gut microbiome mediates the associations between lifestyle factors and risk of colorectal high-risk adenoma: results from a population-based cohort study.	10.1128/msystems.00933-25	CRA028528; DRA006684; DRA008156	2	645	host_disease_stat	disease_key		Cancer		Gut	Shotgun	Japan	reviewer_agrees	
MMC2-00139	1	2014	Molecular systems biology	Potential of fecal microbiota for early-stage detection of colorectal cancer.	10.15252/msb.20145645	PRJEB4336; PRJEB6070	2	716	Diagnosis	disease_key		Cancer		Gut	Both	Denmark	reviewer_agrees	
MMC2-00150	1	2022	Frontiers in cellular and infection microbiology	Oral microbiota and periodontitis severity among Hispanic adults.	10.3389/fcimb.2022.965159	PRJEB42371	1	138	perio_3_categories; perio_4_categories	reviewer_note		Cancer		Oral	Amplicon	Puerto Rico	no_identifies_disease_field	
MMC2-00197	1	2025	Scientific reports	Distinct functional and compositional properties in the gut microbiome of children with acute lymphoblastic leukaemia identified by shotgun metagenomics.	10.1038/s41598-025-27280-7	PRJEB35526; PRJNA1226574; PRJNA421352; PRJNA533024	4	543	Condition; host_phenotype	disease_key		Cancer		Gut	Both	United States	reviewer_agrees	
MMC2-00200	1	2021	Genome medicine	The colorectal cancer-associated faecal microbiome of developing countries resembles that of developed countries.	10.1186/s13073-021-00844-8	PRJEB36789	1	155	sample_type	reviewer_note		Cancer		Gut	Amplicon	United Kingdom	no_identifies_disease_field	
MMC2-00203	1	2021	Clinical cancer research : an official journal of the American Association for           Cancer Research	Microbiome Analysis of More Than 2,000 NHS Bowel Cancer Screening Programme Samples Shows the Potential to Improve Screening Accuracy.	10.1158/1078-0432.CCR-20-3807	PRJEB37635	1	2276	Colonoscopy_status	disease_key		Cancer		Multiple	Amplicon	United States	reviewer_agrees	
MMC2-00214	1	2023	Microbiology spectrum	The Local Tumor Microbiome Is Associated with Survival in Late-Stage Colorectal Cancer Patients.	10.1128/spectrum.05066-22	PRJEB47197; PRJEB57580	2	655	tissue_type	reviewer_note		Cancer		Gut	Amplicon	Sweden [GAZ	reviewer_agrees	
